#,Make,Model,Date - Start,Date - End,Kilometer,"Fuel, l","Fuel, %"
1,Acura,ILX,2013,2022,+,+,
2,Acura,MDX,2008,2014,+,+,
3,Acura,MDX,2008,2014,+,+,
4,Acura,MDX,2014,2022,+,+,
5,Acura,RDX,2012,2019,+,+,
6,Acura,RDX,2019,2022,+,+,
7,Acura,RL,2010,2012,+,+,
8,Acura,RLX,2014,2020,+,+,
9,Acura,TL,2008,2014,+,+,
10,Acura,TLX,2015,2021,+,+,
11,Acura,TLX,2021,2022,+,+,
12,Acura,TSX,2008,2014,+,+,
13,Acura,ZDX,2010,2013,+,+,
14,Adria,Ducato,2006,-,+,,+
15,Adria,Jumper,2006,-,+,,+
16,Alfa Romeo,147,2003,2010,+,,+
17,Alfa Romeo,159,2005,2011,+,,+
18,Alfa Romeo,4C,2013,2020,+,,+
19,Alfa Romeo,Brera,2005,2010,+,,+
20,Alfa Romeo,Giulia,2016,-,+,,+
21,Alfa Romeo,Giulietta,2010,2020,+,,+
22,Alfa Romeo,GT,2003,2010,+,,+
23,Alfa Romeo,Mito,2008,2018,+,,+
24,Alfa Romeo,Spider,2005,2010,+,,+
25,Alfa Romeo,Stelvio,2017,-,+,,+
26,Alpina,B3,2013,2019,+,+,
27,Alpina,B4,2014,-,+,+,
28,Alpina,B5,2011,2016,+,+,
29,Alpina,B5,2017,-,+,+,
30,Alpina,B6,2011,2019,+,+,
31,Alpina,B7,2009,2015,+,+,
32,Alpina,D3,2013,2019,+,+,
33,Alpina,D4,2014,-,+,+,
34,Alpina,D5,2011,2016,+,+,
35,Alpina,D5,2017,-,+,+,
36,Aston Martin,Cygnet,2009,2013,+,+,
37,Audi,A1,2010,2017,+,+,
38,Audi,A1,2018,-,+,+,
39,Audi,A3,2004,2012,+,+,
40,Audi,A3,2012,-,+,+,+
41,Audi,A3,2020,-,+,+,
42,Audi,A4,2005,2008,+,+,
43,Audi,A4,2008,2016,+,+,
44,Audi,A4,2016,-,+,+,
45,Audi,A5,2007,2016,+,+,
46,Audi,A5,2016,-,+,+,
47,Audi,A6,1997,2004,+,+,
48,Audi,A6,2004,2011,+,+,
49,Audi,A6,2010,2017,+,+,
50,Audi,A6,2018,-,+,+,
51,Audi,A7,2010,2017,+,+,
52,Audi,A7,2018,-,+,+,
53,Audi,A8,2010,2017,+,+,
54,Audi,A8,2018,-,+,+,
55,Audi,Allroad,2015,2016,+,+,
56,Audi,Q2,2017,-,+,+,+
57,Audi,Q3,2011,2018,+,+,
58,Audi,Q3,2019,-,+,+,+
59,Audi,Q5,2008,2017,+,+,+
60,Audi,Q5,2017,-,+,+,
61,Audi,Q7,2006,2015,+,+,+
62,Audi,Q7,2015,-,+,+,
63,Audi,Q8,2018,-,+,+,
64,Audi,R8,2006,2015,+,+,
65,Audi,R8,2015,-,+,+,
66,Audi,Rs3,2020,-,+,+,
67,Audi,RS4,2008,2016,+,+,
68,Audi,RS5,2007,2016,+,+,
69,Audi,RS6,2010,2017,+,+,
70,Audi,RSQ8,2018,-,+,+,
71,Audi,S4,2008,2016,+,+,
72,Audi,S4,2016,-,+,+,
73,Audi,S5,2007,2016,+,+,
74,Audi,S5,2016,-,+,+,
75,Audi,S6,2004,2011,+,+,
76,Audi,S6,2013,2013,+,+,
77,Audi,S8,2013,2013,+,+,
78,Audi,SQ2,2017,-,+,+,+
79,Audi,SQ5,2016,2016,+,+,
80,Audi,SQ5,2017,-,+,+,
81,Audi,SQ7,2015,-,+,+,
82,Audi,SQ8,2018,-,+,+,
83,Audi,TT,2008,2013,+,+,
84,Audi,TT,2014,-,+,+,+
85,Audi,TTRS,2014,-,+,+,+
86,Audi,TTS,2014,-,+,+,+
87,Bentley,Bentayga,2015,-,+,+,
88,Bentley,Continental,2003,-,+,+,
89,Bentley,Mulsanne,2010,2020,+,+,
90,BMW,1 series,2004,2011,+,+,
91,BMW,1 series,2011,2019,+,+,
92,BMW,1 series,2019,-,+,+,
93,BMW,2 series,2019,-,+,+,
94,BMW,"tourer, gran tourer)",2014,-,+,+,
95,BMW,3 series,2005,2013,+,+,
96,BMW,3 series,2011,2019,+,+,
97,BMW,3 series,2019,-,+,+,
98,BMW,3 Series Sedan,2012,2014,+,+,
99,BMW,318d xdrive,2016,2024,+,+,
100,BMW,4 series,2013,-,+,+,
101,BMW,4 series,2020,-,+,+,
102,BMW,5 series,2003,2010,+,+,
103,BMW,5 series,2010,2016,+,+,
104,BMW,5 Series,2012,2019,+,+,
105,BMW,540 xdrive m50d,2016,2024,+,+,
106,BMW,6 series,2003,2010,+,+,
107,BMW,6 series,2011,2018,+,+,
108,BMW,6 series,2017,-,+,+,
109,BMW,7 series,2001,2008,+,+,
110,BMW,7 series,2008,2015,+,+,
111,BMW,7 series,2015,-,+,+,
112,BMW,8 series,2018,-,+,+,
113,BMW,i8,2014,2020,+,+,
114,BMW,M135i,2011,2019,+,+,
115,BMW,M140i,2011,2019,+,+,
116,BMW,m2,2016,2020,+,+,
117,BMW,M3,2007,2013,+,+,
118,BMW,M3,2014,2018,+,+,
119,BMW,M3,2021,-,+,+,
120,BMW,M4,2014,2018,+,+,
121,BMW,M4,2021,-,+,+,
122,BMW,M5,2011,2016,+,+,
123,BMW,m5,2017,-,+,+,
124,BMW,M6,2012,2018,+,+,
125,BMW,M8,2019,-,+,+,
126,BMW,X1,2015,-,+,+,
127,BMW,x1 series,2009,2015,+,+,
128,BMW,X2,2018,-,+,+,
129,BMW,X3,2003,2010,+,+,
130,BMW,X3,2010,2017,+,+,
131,BMW,X3,2017,-,+,+,
132,BMW,X3n,2019,-,+,+,
133,BMW,X4,2014,2018,+,+,
134,BMW,X4,2018,-,+,+,
135,BMW,X4m,2019,-,+,+,
136,BMW,X5,2006,2013,+,+,
137,BMW,X5,2015,2018,+,+,
138,BMW,X5,2018,-,+,+,
139,BMW,X5 series,2009,-,+,+,
140,BMW,X6,2008,2014,+,+,
141,BMW,x6,2015,2019,+,+,
142,BMW,X7,2019,-,+,+,
143,BMW,Z4,2002,2008,+,+,
144,BMW,Z4,2009,2016,+,+,
145,BMW,Z4,2018,-,+,+,
146,Buick,Cascada,2016,2019,+,,+
147,Buick,Cascada,2016,2019,+,+,
148,Buick,Enclave,2012,2018,+,+,
149,Buick,Enclave,2018,2021,+,+,
150,Buick,Encore,2013,-,+,,+
151,Buick,Encore,2013,2020,+,+,
152,Buick,Encore,2020,2021,+,+,
153,Buick,Encore GX,2020,2021,+,+,
154,Buick,Envision,2014,-,+,,+
155,Buick,Envision,2016,2020,+,+,
156,Buick,Envision,2021,2021,+,+,
157,Buick,LaCrosse,2012,2016,+,+,
158,Buick,LaCrosse,2017,2019,+,+,
159,Buick,Lucerne,2008,2011,+,+,
160,Buick,Regal,2008,2017,+,,+
161,Buick,Regal,2012,2020,+,+,
162,Buick,Regal,2018,2020,+,+,
163,Buick,Verano,2012,2015,+,+,
164,Buick,Verano,2016,2017,+,+,
165,Buick,Verano Hatchback/GS,2015,-,+,,+
166,Cadillac,ATS,2013,2019,+,+,
167,Cadillac,CT4,2020,2020,+,+,
168,Cadillac,CT5,2020,2021,+,+,
169,Cadillac,CT6,2016,2020,+,+,
170,Cadillac,CTS,2008,2013,+,+,
171,Cadillac,CTS,2014,2019,+,+,
172,Cadillac,Escalade,2010,2014,+,+,
173,Cadillac,Escalade,2015,2020,+,+,
174,Cadillac,Escalade ESV,2012,2020,+,+,
175,Cadillac,Escalade EXT,2008,2013,+,+,
176,Cadillac,SRX,2010,2016,+,+,
177,Cadillac,STS,2008,2011,+,+,
178,Cadillac,XT4,2019,2021,+,+,
179,Cadillac,XT5,2017,2021,+,+,
180,Cadillac,XT6,2020,2020,+,+,
181,Cadillac,XTS,2013,2020,+,+,
182,Chevrolet,Avalanche,2012,2013,+,+,
183,Chevrolet,Blazer,2019,2021,+,+,
184,Chevrolet,Bolt,2017,2022,+,,
185,Chevrolet,Camaro,2011,2015,+,+,
186,Chevrolet,Camaro,2016,2021,+,+,
187,Chevrolet,Captiva,2006,2019,+,,+
188,Chevrolet,City Express,2014,2018,+,+,
189,Chevrolet,Colorado,2015,2022,+,+,
190,Chevrolet,Corvette,2012,2013,+,+,
191,Chevrolet,Corvette,2014,2019,+,+,
192,Chevrolet,Corvette,2020,2020,+,+,
193,Chevrolet,Cruze,2008,2016,+,,+
194,Chevrolet,Cruze,2011,2015,+,+,
195,Chevrolet,Cruze,2016,-,+,,+
196,Chevrolet,Cruze,2016,2019,+,+,
197,Chevrolet,Cruze Limited,2016,2016,+,+,
198,Chevrolet,Equinox,2010,2017,+,+,
199,Chevrolet,Equinox,2018,2021,+,+,
200,Chevrolet,Express 1500,2012,2014,+,+,
201,Chevrolet,Express 2500,2010,2020,+,+,
202,Chevrolet,Express 3500,2012,2020,+,+,
203,Chevrolet,Impala,2008,2015,+,+,
204,Chevrolet,Impala,2016,2020,+,+,
205,Chevrolet,Malibu,2013,2015,+,+,
206,Chevrolet,Malibu,2016,2021,+,+,
207,Chevrolet,Nexia,2012,-,+,,+
208,Chevrolet,Onix,2013,2019,+,,
186,Chevrolet,Silverado,2013,-,+,+,+
210,Chevrolet,Silverado 1500,2009,2022,+,+,
211,Chevrolet,Silverado 2500HD,2008,2022,+,+,
212,Chevrolet,Silverado 3500HD,2012,2022,+,+,
213,Chevrolet,Silverado 4500HD,2019,2021,+,+,
214,Chevrolet,Silverado 5500HD,2019,2021,+,+,
215,Chevrolet,Silverado 6500HD,2019,2021,+,+,
216,Chevrolet,Sonic,2012,2020,+,+,
217,Chevrolet,Spark,2012,2014,+,+,
218,Chevrolet,Spark,2015,2021,+,+,
219,Chevrolet,SS,2014,2017,+,+,
220,Chevrolet,Suburban 1500,2009,2021,+,+,
221,Chevrolet,Suburban 2500,2012,2013,+,+,
222,Chevrolet,Suburban 3500,2016,2019,+,+,
223,Chevrolet,Tahoe,2008,2015,+,+,
224,Chevrolet,Tahoe,2015,2021,+,+,
225,Chevrolet,Tahoe,2021,2022,+,+,
226,Chevrolet,Trailblazer,2021,2022,+,+,
227,Chevrolet,Traverse,2012,2017,+,+,
228,Chevrolet,Traverse,2018,2021,+,+,
229,Chevrolet,Trax,2015,2021,+,+,
230,Chevrolet,Volt,2012,2019,+,+,
231,Chevrolet,Volt,2016,2019,+,,
232,Chrysler,200,2011,2017,+,+,
233,Chrysler,300,2005,2010,+,,
234,Chrysler,300,2011,-,+,,
235,Chrysler,300c,2005,2010,+,,
236,Chrysler,300c,2011,-,+,,
237,Chrysler,Aspen,2008,2008,+,+,
238,Chrysler,Delta,2011,2015,+,,+
239,Chrysler,Grand Caravan,2019,-,+,,
240,Chrysler,Pacifica,2016,-,+,,
241,Chrysler,PT Cruiser,2006,2010,+,+,
243,Chrysler,Sebring,2008,2010,+,+,
243,Chrysler,Town & Country,2008,2015,+,+,
244,Chrysler,Town & Country,2016,2020,+,+,
245,Chrysler,Voyager,2019,-,+,,
246,Citroën,Berlingo III,2018,-,+,+,+
247,Citroën,C1,2014,-,+,+,
248,Citroën,C3,2016,-,+,+,+
249,Citroën,C4,2010,2018,+,+,+
250,Citroën,C4 Aircross,2012,2017,+,+,+
251,Citroën,C4 Cactus,2014,2020,+,+,+
252,Citroën,C4 Picasso,2013,-,+,+,+
253,Citroën,Dispatch,2016,-,+,+,+
254,Citroën,Ds 3 Crossback,2018,-,+,+,+
255,Citroën,Jumper,2006,-,+,,+
256,Citroën,Jumpy,2016,-,+,+,+
257,Citroën,Relay,2006,-,+,,+
258,Citroën,Spacetourer,2016,-,+,+,+
259,Cupra,Formentor,2020,-,+,+,
260,Cupra,Leon,2021,-,+,+,
261,Dacia,Dokker,2012,-,+,+,
262,Dacia,Duster II,2013,2017,+,+,
263,Dacia,Duster II,2017,-,+,+,
264,Dacia,Lodgy,2012,-,+,+,
265,Dacia,Logan II,2012,-,+,+,
266,Dacia,Logan III,2020,-,+,+,
267,Dacia,Sandero II,2012,-,+,+,
268,Dacia,Sandero iii,2020,-,+,+,
269,Daihatsu,Altis,2017,-,+,+,
270,Daihatsu,Xenia,2011,2021,,+,
271,Daihatsu,Xenia,2021,-,+,+,
272,Dodge,Avenger,2008,2014,+,+,
273,Dodge,Caliber,2008,2012,+,+,
274,Dodge,Challenger,2008,2021,+,+,
275,Dodge,Challenger,2011,2016,+,,
276,Dodge,Charger,2006,-,+,,
277,Dodge,Charger,2011,-,+,,
278,Dodge,Dakota,2008,2011,+,+,
279,Dodge,Dart,2013,2016,+,+,
280,Dodge,Durango,2008,2010,+,+,
281,Dodge,Durango,2011,2022,+,+,
282,Dodge,Grand Caravan,2008,2022,+,+,
284,Dodge,Journey,2009,2020,+,+,
284,Dodge,Journey,2011,2016,+,,
285,Dodge,Magnum,2005,2008,+,,
286,Dodge,Neon,2016,-,+,,+
287,Dodge,Nitro,2008,2011,+,+,
288,Dodge,Sprinter,2007,2009,+,+,
289,Dodge,Viper,2013,2017,+,+,
290,Dodge,Vision,2015,-,+,,+
291,Ferrari,458 Italia,2013,2013,+,+,
292,Fiat,500,2007,-,+,,+
293,Fiat,500,2012,2017,+,+,
294,Fiat,500,2020,-,+,,
295,Fiat,124 Spider,2017,2017,+,+,
296,Fiat,500c,2012,2019,+,+,
297,Fiat,500e,2013,2013,+,,
298,Fiat,500l,2013,-,+,,+
299,Fiat,500L,2014,2015,+,+,
300,Fiat,500x,2016,-,+,,+
301,Fiat,500X,2016,2016,+,+,
302,Fiat,Albea,2002,2014,+,,+
303,Fiat,Bravo,2007,2016,+,,+
304,Fiat,Croma,2005,2010,+,,+
305,Fiat,Cronos,2018,-,+,,+
306,Fiat,Doblo,2000,2010,+,,+
307,Fiat,Doblo,2010,-,+,,+
308,Fiat,Ducato,2006,-,+,,+
309,Fiat,Egea,2015,-,+,,+
310,Fiat,Fiorino 08,2008,2015,+,,+
311,Fiat,Freemont,2011,2016,+,,
312,Fiat,Fullback,2016,2019,+,,+
313,Fiat,Idea,2003,2018,+,,+
314,Fiat,Linea,2007,2018,+,,+
315,Fiat,Mobi,2016,-,+,,+
316,Fiat,Palio,2007,2016,+,,+
317,Fiat,Panda,2011,-,+,,+
318,Fiat,Punto,2005,2018,+,,+
319,Fiat,Scudo,2021,-,+,+,+
299,Fiat,Sedici,2005,2015,+,,+
321,Fiat,Siena,2012,-,+,,+
322,Fiat,Stilo,2001,2010,+,,+
323,Fiat,Strada,2009,2020,+,,+
325,Fiat,Talento,2016,-,+,+,
326,Fiat,Tipo,2015,-,+,,+
326,Fiat,Toro,2016,-,+,,+
327,Fiat,Ulysse,2021,-,+,+,+
328,Fiat,Uno,2016,-,+,,+
329,Fiat,Ducato,2020,-,+,+,+
330,Ford,Bronco,2021,2022,+,+,
331,Ford,Bronco Sport,2021,2022,+,+,
332,Ford,C-max,2010,2019,+,,+
333,Ford,Crown Victoria,2008,2012,+,+,
334,Ford,E150,2008,2012,+,+,
335,Ford,E250,2008,2012,+,+,
336,Ford,E350,2008,2022,+,+,
337,Ford,E450,2008,2022,+,+,
338,Ford,EcoSport,2018,2021,+,+,
339,Ford,Edge,2007,2014,+,+,
340,Ford,Edge,2015,-,+,,+
341,Ford,Edge,2015,2022,+,+,
342,Ford,Escape,2008,2012,+,+,
343,Ford,Escape,2012,2019,+,,
344,Ford,Escape,2013,2022,+,+,
345,Ford,Escape Hybrid,2011,2012,+,+,
346,Ford,Expedition,2008,2017,+,+,
347,Ford,Expedition,2018,2021,+,+,
348,Ford,Explorer,2008,2010,+,+,
349,Ford,Explorer,2011,2019,+,+,
350,Ford,Explorer,2020,2022,+,+,
351,Ford,F150,2008,2022,+,+,
352,Ford,F250 Super Duty,2008,2022,+,+,
353,Ford,F350 Super Duty,2008,2022,+,+,
354,Ford,F450 Super Duty,2008,2022,+,+,
355,Ford,F550 Super Duty,2008,2022,+,+,
356,Ford,F650,2012,2021,+,+,
357,Ford,F750,2012,2021,+,+,
358,Ford,Fiesta,2009,2019,+,,+
359,Ford,Fiesta,2017,-,+,,+
360,Ford,Five Hundred,2007,2007,+,+,
361,Ford,Flex,2009,2019,+,+,
362,Ford,Focus,2007,2018,+,+,
363,Ford,Focus,2019,-,+,,+
364,Ford,Fusion,2009,2012,+,+,
366,Ford,Fusion,2013,-,+,,+
367,Ford,Fusion,2013,2020,+,+,
367,Ford,Galaxy,1995,2010,+,+,+
368,Ford,Galaxy,2016,-,+,,+
369,Ford,Kuga,2012,2019,+,,
370,Ford,Kuga,2020,-,+,,
371,Ford,Mondeo,2013,-,+,,+
372,Ford,Mustang,2008,2014,+,+,
373,Ford,Mustang,2015,2021,+,+,
374,Ford,Mustang Mach-E,2021,2021,+,+,
356,Ford,Puma,2019,-,+,,+
376,Ford,Ranger,2008,2021,+,+,
377,Ford,S-max,2006,2015,+,,+
378,Ford,S-Max,2016,-,+,,+
379,Ford,Taurus,2008,2015,+,+,
380,Ford,Taurus,2016,2019,+,+,
381,Ford,Tourneo Connect,2021,-,+,+,
382,Ford,Tourneo III,2006,2013,+,,+
383,Ford,Tourneo IV,2013,2018,+,,+
384,Ford,Transit,2006,2013,+,,+
385,Ford,Transit 150,2015,2021,+,+,
386,Ford,Transit 250,2015,2021,+,+,
387,Ford,Transit 350,2015,2021,+,+,
388,Ford,Transit 350 HD,2015,2021,+,+,
389,Ford,Transit Connect,2010,2021,+,+,
390,Ford,Transit connect,2013,-,+,,+
391,Ford,Transit IV,2013,2018,+,,+
392,Ford,Transit Tourneo Courier,2014,-,+,,+
393,Freightliner,Sprinter,2019,-,+,+,
394,Freightliner,Sprinter 2500,2012,2018,+,+,
395,Freightliner,Sprinter 3500,2012,2018,+,+,
396,Freightliner,Sprinter Worker,2017,2017,+,+,
397,Genesis,G80,2019,2019,+,+,
398,GMC,Acadia,2011,2016,+,+,
399,GMC,Acadia,2017,2021,+,+,
400,GMC,Canyon,2015,2022,+,+,
401,GMC,Savana 1500,2012,2014,+,+,
402,GMC,Savana 2500,2012,2020,+,+,
403,GMC,Savana 3500,2012,2020,+,+,
404,GMC,Sierra 1500,2009,2022,+,+,
405,GMC,Sierra 1500 Limited,2019,2021,+,+,
407,GMC,Sierra 2500,2009,2022,+,+,
408,GMC,Sierra 3500,2009,2022,+,+,
409,GMC,Terrain,2010,2017,+,+,
